Burlington - Stowe, 3*, Williston, Courtyard, 22.0%
San Diego, 3.5*, Costal, Paradise Point Resort and Spa, 39.0%
Salem NH-Andover MA, 3*, Andover, Staybridge Suites, 69.4%
Salem NH-Andover MA, 3*, Andover, Wyndham, 30.6%
San Diego, 3*, Costal, Residence Inn, 10.9%
San Diego, 3*, Costal, Hotel La Jolla at the Shores, 8.7%
San Diego, 3*, Costal, The Dana On Mission Bay, 6.9%
San Diego, 3*, Costal, Holiday Inn, 12.0%
San Diego, 3*, Costal, La Jolla At The Shores, 23.7%
San Diego, 3*, Costal, Marriot, 29.4%
San Diego, 3*, Costal, Hyatt, 8.4%
San Diego, 2.5*, Costal, Best Western, 100.0%
San Diego, 2*, Costal, Holiday Inn, 100.0%
San Diego, 3*, Del Mar, Morgan Run Club and Resort, 6.4%
San Diego, 3*, Del Mar, Marriot, 9.1%
San Diego, 3*, Del Mar, ???, 5.4%
San Diego, 3*, Del Mar, Courtyard, 10.0%
San Diego, 3*, Del Mar, Hilton, 9.3%
San Diego, 3*, Del Mar, DoubleTree, 59.8%
San Diego, 3*, Downtown-HI, Courtyard, 3.0%
San Diego, 3*, Downtown-HI, Doubletree, 6.8%
San Diego, 3*, Downtown-HI, Sheraton, 10.2%
San Diego, 3*, Downtown-HI, Hilton, 11.6%
San Diego, 3*, Downtown-HI, Holiday Inn, 68.4%
San Diego, 3.5*, Downtown-HI, Sheraton, 52.9%
San Diego, 3.5*, Downtown-HI, Doubletree, 47.1%
San Diego, 2.5*, Downtown-HI, Holiday Inn, 100.0%
San Diego, 2*, Downtown-HI, Comfort Inn, 100.0%
San Diego, 2*, La Mesa, Travelodge, 100.0%
San Diego, 3*, Mission Valley, Marriot, 2.3%
San Diego, 3*, Mission Valley, Four Points, 4.3%
San Diego, 3*, Mission Valley, Sheraton, 10.7%
San Diego, 3*, Mission Valley, Hilton, 15.1%
San Diego, 3*, Mission Valley, Doubletree, 11.5%
San Diego, 3*, Mission Valley, Holiday Inn, 31.5%
San Diego, 3*, Mission Valley, Courtyard, 9.2%
San Diego, 3*, Mission Valley, Crowne Plaza, 15.4%
San Diego, 3*, La Mesa, Residence Inn, 25.5%
San Diego, 3*, La Mesa, Holiday Inn, 74.5%
San Jose, 2*, Sunnyvale - Santa Clara, Extended StayAmerica, 100.0%
San Diego, 2.5*, Mission Valley, Holiday Inn, 100.0%
San Diego, 2*, Mission Valley, Extended StayAmerica, 53.1%
San Diego, 2*, Mission Valley, Kings Inn, 22.0%
San Diego, 2*, Mission Valley, Comfort Inn, 25.0%
San Diego, 3.5*, Point Loma-Shelter Island-Old Town, Doubletree, 45.0%
San Diego, 3.5*, Point Loma-Shelter Island-Old Town, Sheraton, 55.0%
San Diego, 3*, Point Loma-Shelter Island-Old Town, Humphreys Half Moon, 7.0%
San Diego, 3*, Point Loma-Shelter Island-Old Town, Sheraton, 6.5%
San Diego, 3*, Point Loma-Shelter Island-Old Town, Courtyard, 20.3%
San Diego, 3*, Point Loma-Shelter Island-Old Town, Holiday Inn, 48.0%
San Diego, 3*, Point Loma-Shelter Island-Old Town, Doubletree, 4.7%
San Diego, 3*, Point Loma-Shelter Island-Old Town, Hilton, 7.9%
San Diego, 3*, Point Loma-Shelter Island-Old Town, Mission Plaza, 5.7%
San Diego, 1*, Mission Valley, Super 8, 36.0%
San Diego, 1*, Mission Valley, Extended StayAmerica, 41.0%
San Diego, 1*, Mission Valley, Homestead, 23.0%
San Diego, 2.5*, Point Loma-Shelter Island-Old Town, Courtyard, 29.6%
San Diego, 2.5*, Point Loma-Shelter Island-Old Town, Holiday Inn, 70.4%
San Diego, 2*, Point Loma-Shelter Island-Old Town, Holiday Inn, 52.8%
San Diego, 2*, Point Loma-Shelter Island-Old Town, Comfort Inn, 25.8%
San Diego, 2*, Point Loma-Shelter Island-Old Town, Howard Johnson, 21.5%
San Diego, 2.5*, North County Coastal, Best Western, 100.0%
San Diego, 3*, North County Coastal, Residence Inn, 6.1%
San Diego, 3*, North County Coastal, Hyatt, 4.7%
San Diego, 3*, North County Coastal, Courtyard, 13.9%
San Diego, 3*, North County Coastal, Marriot, 16.4%
San Diego, 3*, North County Coastal, The Dana On Mission Bay, 3.8%
San Diego, 3*, North County Coastal, Hotel La Jolla, 4.8%
San Diego, 3*, North County Coastal, Holiday Inn, 37.1%
San Diego, 3*, North County Coastal, La Jolla At The Shores, 13.2%
San Diego, 3*, Rancho Bernardo, Residence Inn, 9.8%
San Diego, 3*, Rancho Bernardo, Hilton, 9.8%
San Diego, 3*, Rancho Bernardo, Morgan Run Club and Resort, 6.3%
San Diego, 3*, Rancho Bernardo, Courtyard, 14.3%
San Diego, 3*, Rancho Bernardo, Doubletree, 28.6%
San Diego, 3*, Rancho Bernardo, Holiday Inn, 31.2%
San Diego, 2.5*, Rancho Bernardo, Courtyard, 100.0%
Salt Lake City, 2.5*, Airport SLC, Courtyard, 23.4%
Salt Lake City, 2.5*, Airport SLC, Holiday Inn, 6.3%
Salt Lake City, 2.5*, Airport SLC, Residence Inn, 14.8%
Salt Lake City, 2.5*, Airport SLC, Springhill Suites, 55.5%
Scranton, 2*, Wilkes Barre, Holiday Inn, 100.0%
Salt Lake City, 2*, Airport SLC, Ramada, 27.6%
Salt Lake City, 2*, Airport SLC, Quality Inn, 72.4%
San Diego, 4*, Coronado, Lowes, 20.7%
San Diego, 4*, Coronado, Loews Coronado Bay, 32.9%
San Diego, 4*, Coronado, Marriot, 46.4%
San Francisco, 4*, USW- Nob Hill, Stanford Court, 1.2%
San Francisco, 4*, USW- Nob Hill, Intercontinental Mark Hopkins, 0.4%
San Francisco, 4*, USW- Nob Hill, Clift, 1.4%
San Francisco, 4*, USW- Nob Hill, Inter-Continental Mark Hopkins, 0.7%
San Francisco, 4*, USW- Nob Hill, JW Marriot, 3.8%
San Francisco, 4*, USW- Nob Hill, Hotel Prescott, 4.8%
San Francisco, 4*, USW- Nob Hill, Prescott Hotel, 1.5%
San Francisco, 4*, USW- Nob Hill, Mark Hopkins Inter-Continental, 1.3%
San Francisco, 4*, USW- Nob Hill, Renaissance, 3.2%
San Francisco, 4*, USW- Nob Hill, Parc 55 Hotel, 39.4%
San Francisco, 4*, USW- Nob Hill, Hilton, 42.4%
San Francisco, 4*, USE, Hotel Palomar, 3.3%
San Francisco, 4*, USE, W Hotel, 3.6%
San Francisco, 4*, USE, Le Meridien, 9.5%
San Francisco, 4*, USE, Taj Campton Place, 2.6%
San Francisco, 4*, USE, Parc 55 Wyndham, 4.8%
San Francisco, 4*, USE, Marriot, 10.4%
San Francisco, 4*, USE, Palace Hotel, 3.4%
San Francisco, 4*, USE, Omni, 9.0%
San Francisco, 4*, USE, Westin, 9.8%
San Francisco, 4*, USE, Hilton, 19.3%
San Francisco, 4*, USE, Hyatt, 24.3%
San Francisco, 4*, USA, Westin, 100.0%
San Francisco, 3*, South, Courtyard, 15.3%
San Francisco, 3*, South, Homewood Suites Airport North, 33.6%
San Francisco, 3*, South, Radisson, 51.1%
San Francisco, 4*, San Mateo, Sofitel, 11.1%
San Francisco, 4*, San Mateo, Marriot, 88.9%
San Francisco, 2.5*, South, Hilton, 19.7%
San Francisco, 2.5*, South, Homewood Suites SFO, 32.0%
San Francisco, 2.5*, South, Residence Inn, 11.5%
San Francisco, 2.5*, South, Courtyard, 36.8%
San Francisco, 4*, SOMA - Moscone Center, Hotel Palomar, 4.4%
San Francisco, 4*, SOMA - Moscone Center, Inter-Continental San Francisco, 16.5%
San Francisco, 4*, SOMA - Moscone Center, Marriot, 54.8%
San Francisco, 4*, SOMA - Moscone Center, Palace, 6.1%
San Francisco, 4*, SOMA - Moscone Center, Palomar  A Kimpton Hotel, 10.2%
San Francisco, 4*, SOMA - Moscone Center, Westin, 8.1%
San Francisco, 4*, Fishermans Wharf, Hilton, 37.6%
San Francisco, 4*, Fishermans Wharf, Sheraton, 62.4%
San Francisco, 4*, SFO Airport, Hyatt, 26.0%
San Francisco, 4*, SFO Airport, Sheraton, 34.4%
San Francisco, 4*, SFO Airport, Westin, 11.0%
San Francisco, 4*, SFO Airport, Hilton, 28.7%
San Francisco, 3*, Civic Centre, Holiday Inn, 100.0%
San Francisco, 4*, Embarcadero-Financial, Hyatt, 11.1%
San Francisco, 4*, Embarcadero-Financial, Omni, 17.6%
San Francisco, 4*, Embarcadero-Financial, Le Meriden..., 39.7%
San Francisco, 4*, Embarcadero-Financial, Hilton, 31.7%
San Diego, 3.5*, North County Coastal, Paradise Point Resort and Spa, 20.5%
San Diego, 3.5*, North County Coastal, Sheraton, 56.8%
San Diego, 3.5*, North County Coastal, Marriot, 22.7%
San Francisco, 3*, Cathederal Hill, Holiday Inn, 100.0%
San Antonio, 4*, West, Hyatt, 100.0%
San Antonio, 2*, South, La Quinta, 100.0%
San Antonio, 3*, West-SeaWorld, Holiday Inn, 33.9%
San Antonio, 3*, West-SeaWorld, Courtyard, 33.0%
San Antonio, 3*, West-SeaWorld, Hilton, 33.0%
San Antonio, 3*, West, Courtyard, 66.1%
San Antonio, 3*, West, Holiday Inn, 33.9%
San Diego, 2*, North County Coastal, Howard Johnson, 41.3%
San Diego, 2*, North County Coastal, Holiday Inn, 18.6%
San Diego, 2*, North County Coastal, Ramada, 40.1%
San Antonio, 2*, West, Super 8, 100.0%
San Francisco, 2.5*, Cathederal Hill, Opal, 70.2%
San Francisco, 2.5*, Cathederal Hill, York Hotel, 29.8%
San Francisco, 3*, Embarcadero-Financial, Harbor Court, 100.0%
San Francisco, 3.5*, Embarcadero-Financial, Club Quarters, 100.0%
San Francisco, 2*, Cathederal Hill, Best Western, 59.4%
San Francisco, 2*, Cathederal Hill, Monarch, 40.6%
San Francisco, 3.5*, Fishermans Wharf, Argonaut Hotel, 2.7%
San Francisco, 3.5*, Fishermans Wharf, Hyatt, 9.2%
San Francisco, 3.5*, Fishermans Wharf, Sheraton, 53.1%
San Francisco, 3.5*, Fishermans Wharf, Marriot, 35.0%
San Francisco, 3*, Fishermans Wharf, Courtyard, 5.1%
San Francisco, 3*, Fishermans Wharf, Holiday Inn, 53.5%
San Francisco, 3*, Fishermans Wharf, Marriot, 13.5%
San Francisco, 3*, Fishermans Wharf, Sheraton, 6.6%
San Francisco, 3*, Fishermans Wharf, Best Western, 8.6%
San Francisco, 3*, Fishermans Wharf, Holdiay Inn Fishermans Wharf, 4.6%
San Francisco, 3*, Fishermans Wharf, Hilton, 8.2%
San Francisco, 2.5*, Civic Centre, Whitcomb Hotel, 12.8%
San Francisco, 2.5*, Civic Centre, Hotel Whitcomb, 33.7%
San Francisco, 2.5*, Civic Centre, Ramada, 8.6%
San Francisco, 2.5*, Civic Centre, Opal Hotel, 3.8%
San Francisco, 2.5*, Civic Centre, Holiday Inn, 41.1%
San Francisco, 3*, SFO Airport, Crowne Plaza, 25.7%
San Francisco, 3*, SFO Airport, Courtyard, 11.9%
San Francisco, 3*, SFO Airport, Four Points, 7.5%
San Francisco, 3*, SFO Airport, Hyatt, 5.6%
San Francisco, 3*, SFO Airport, Marriot, 7.7%
San Francisco, 3*, SFO Airport, Staybridge Suites San Bruno, 8.4%
San Francisco, 3*, SFO Airport, Holiday Inn, 33.3%
San Francisco, 3.5*, SFO Airport, Embassy Suites, 8.6%
San Francisco, 3.5*, SFO Airport, Doubletree, 54.5%
San Francisco, 3.5*, SFO Airport, Marriot, 36.9%
San Francisco, 2*, Civic Centre, Renoir Hotel, 100.0%
San Francisco, 2.5*, SFO Airport, Best Western, 32.7%
San Francisco, 2.5*, SFO Airport, Courtyard, 15.3%
San Francisco, 2.5*, SFO Airport, Holiday Inn, 21.9%
San Francisco, 2.5*, SFO Airport, Staybridge Suites, 30.1%
San Francisco, 2*, SFO Airport, Vagabond Executive Inn, 11.2%
San Francisco, 2*, SFO Airport, La Quinta, 77.9%
San Francisco, 2*, SFO Airport, Clarion, 10.9%
San Francisco, 2.5*, SOMA - Moscone Center, Opal Hotel, 3.8%
San Francisco, 2.5*, SOMA - Moscone Center, Ramada, 8.6%
San Francisco, 2.5*, SOMA - Moscone Center, Whitcomb, 12.8%
San Francisco, 2.5*, SOMA - Moscone Center, Holiday Inn, 41.1%
San Francisco, 2.5*, SOMA - Moscone Center, Hotel Whitcomb, 33.7%
San Francisco, 3.5*, San Mateo, Crowne Plaza, 100.0%
San Francisco, 1*, SFO Airport, Travelodge, 100.0%
San Francisco, 2*, SOMA - Moscone Center, Renoir Hotel, 100.0%
San Francisco, 3*, SOMA - Moscone Center, Hotel Carlton, 8.5%
San Francisco, 3*, SOMA - Moscone Center, Pickwick Hotel, 9.8%
San Francisco, 3*, SOMA - Moscone Center, Holiday Inn, 81.7%
Salt Lake City, 4*, Downtown and University, Hilton, 43.4%
Salt Lake City, 4*, Downtown and University, Sheraton, 13.9%
Salt Lake City, 4*, Downtown and University, Marriot, 8.9%
Salt Lake City, 4*, Downtown and University, Little America, 7.3%
Salt Lake City, 4*, Downtown and University, Hotel Monaco, 26.4%
San Francisco, 2.5*, San Mateo, Holiday Inn, 23.2%
San Francisco, 2.5*, San Mateo, Courtyard, 16.1%
San Francisco, 2.5*, San Mateo, Best Western, 60.7%
San Francisco, 3*, San Mateo, Holiday Inn, 19.3%
San Francisco, 3*, San Mateo, Residence Inn, 15.2%
San Francisco, 3*, San Mateo, Hilton, 19.2%
San Francisco, 3*, San Mateo, Courtyard, 37.6%
San Francisco, 3*, San Mateo, Crowne Plaza, 8.6%
San Francisco, 3*, USE, Hotel 480, 7.9%
San Francisco, 3*, USE, Galleria Park Hotel, 25.4%
San Francisco, 3*, USE, Chancellor Hotel, 13.2%
San Francisco, 3*, USE, Courtyard, 5.6%
San Francisco, 3*, USE, Crowne Plaza, 11.2%
San Francisco, 3*, USE, Executive Hotel Vintage Court, 20.2%
San Francisco, 3*, USE, Club Quarters, 16.5%
San Francisco, 3.5*, USE, Marriot, 14.1%
San Francisco, 3.5*, USE, Sir Francis Drake $85, 59.4%
San Francisco, 3.5*, USE, St Francis Drake, 7.5%
San Francisco, 3.5*, USE, Galleria Park, 9.6%
San Francisco, 3.5*, USE, Hotel 480, 9.4%
San Francisco, 2.5*, USE, Chancellor Hotel on Union Square, 100.0%
San Francisco, 3*, USW- Nob Hill, Maxwell Hotel, 8.3%
San Francisco, 3*, USW- Nob Hill, Donatello Hotel, 16.2%
San Francisco, 3*, USW- Nob Hill, Warwick Regis, 75.6%
San Francisco, 2.5*, USW- Nob Hill, Best Western, 100.0%
San Antonio, 3*, Market Square, Holiday Inn, 76.9%
San Antonio, 3*, Market Square, Doubletree, 23.1%
San Antonio, 4*, Riverwalk, Hotel Contessa, 2.8%
San Antonio, 4*, Riverwalk, Sheraton, 5.7%
San Antonio, 4*, Riverwalk, Omni, 17.0%
San Antonio, 4*, Riverwalk, Emily Morgan, 22.8%
San Antonio, 4*, Riverwalk, Hyatt, 5.4%
San Antonio, 4*, Riverwalk, Westin, 7.0%
San Antonio, 4*, Riverwalk, Hilton, 17.4%
San Antonio, 4*, Riverwalk, Marriot, 21.8%
San Antonio, 4*, NorthWest, Omni, 100.0%
San Antonio, 3*, North-Stone Oak, Courtyard, 100.0%
San Antonio, 4*, Fiesta-La Cantera, Omni, 100.0%
San Francisco, 2.5*, Fishermans Wharf, Radisson, 66.4%
San Francisco, 2.5*, Fishermans Wharf, Holiday Inn, 33.6%
San Antonio, 4*, Downtown-RW, Emily Morgan, 25.2%
San Antonio, 4*, Downtown-RW, Hotel Contessa, 5.7%
San Antonio, 4*, Downtown-RW, Hyatt, 4.5%
San Antonio, 4*, Downtown-RW, Omni, 25.9%
San Antonio, 4*, Downtown-RW, Westin, 7.8%
San Antonio, 4*, Downtown-RW, Hilton, 19.1%
San Antonio, 4*, Downtown-RW, Marriot, 11.9%
San Antonio, 2.5*, Boerne, Holiday Inn, 48.3%
San Antonio, 2.5*, Boerne, La Quinta, 51.7%
San Jose, 4*, Redwood City-San Carlos, Sofitel, 100.0%
San Jose, 3.5*, Newark-Fremont, Marriot, 49.1%
San Jose, 3.5*, Newark-Fremont, Hilton, 50.9%
San Antonio, 3.5*, Medical Center, Marriot, 100.0%
San Jose, 3.5*, Palo Alto-Mountain View, Sheraton, 55.2%
San Jose, 3.5*, Palo Alto-Mountain View, Westin, 44.8%
San Jose, 3.5*, Milpitas, Beverly Heritage Hotel, 100.0%
Sandusky, 2.5*, Milan, Best Western, 100.0%
Santa Fe, 3*, Cerillos Rd, Courtyard, 87.9%
Santa Fe, 3*, Cerillos Rd, Holiday Inn, 12.1%
Santa Fe, 4*, Plaza, La Posada De Santa Fe Resort and Spa, 88.4%
Santa Fe, 4*, Plaza, Loretto Inn and Spa, 11.6%
Santa Fe, 2*, Cerillos Rd, La Quinta, 100.0%
San Jose, 3*, Milpitas, Courtyard, 11.3%
San Jose, 3*, Milpitas, Crowne Plaza, 21.2%
San Jose, 3*, Milpitas, Beverly Heritage Hotel, 61.9%
San Jose, 3*, Milpitas, Sheraton, 5.7%
Santa Fe, 3.5*, Plaza, Inn of the Governors, 28.7%
Santa Fe, 3.5*, Plaza, Hotel Sante Fe, 71.3%
San Jose, 2.5*, Milpitas, Courtyard, 100.0%
San Jose, 3*, Newark-Fremont, Courtyard, 13.2%
San Jose, 3*, Newark-Fremont, Hyatt, 86.8%
San Jose, 2*, Milpitas, Days Inn, 7.1%
San Jose, 2*, Milpitas, Extended StayAmerica, 92.9%
San Jose, 2*, Newark-Fremont, Extended StayAmerica, 41.8%
San Jose, 2*, Newark-Fremont, Homestead Suites, 58.2%
San Jose, 2.5*, Newark-Fremont, Holiday Inn, 34.9%
San Jose, 2.5*, Newark-Fremont, Courtyard, 65.1%
San Jose, 1*, Newark-Fremont, Extended StayAmerica, 100.0%
San Jose, 2*, Palo Alto-Mountain View, Crestview Inn, 49.5%
San Jose, 2*, Palo Alto-Mountain View, Homestead Mountain View, 50.5%
San Jose, 3*, Palo Alto-Mountain View, Courtyard, 100.0%
San Jose, 2.5*, Palo Alto-Mountain View, Hilton, 17.9%
San Jose, 2.5*, Palo Alto-Mountain View, Residence Inn, 70.9%
San Jose, 2.5*, Palo Alto-Mountain View, Avante, 11.2%
San Antonio, 3*, Medical Center, Courtyard, 41.5%
San Antonio, 3*, Medical Center, Marriot, 58.5%
San Jose, 2.5*, Redwood City-San Carlos, Country Inn and Suites, 100.0%
San Jose, 2*, Redwood City-San Carlos, Homestead Studio Suites, 100.0%
San Antonio, 3.5*, Downtown-RW, Wyndham S. Anthony, 82.9%
San Antonio, 3.5*, Downtown-RW, Crowne Plaza, 17.1%
San Antonio, 3*, Downtown-RW, Crowne Plaza, 13.0%
San Antonio, 3*, Downtown-RW, Courtyard, 9.5%
San Antonio, 3*, Downtown-RW, Hotel Indigo, 8.0%
San Antonio, 3*, Downtown-RW, Holiday Inn, 59.4%
San Antonio, 3*, Downtown-RW, Wyndham St Anthony, 10.2%
San Antonio, 2.5*, North-Stone Oak, Holiday Inn, 100.0%
San Antonio, 2.5*, Downtown-RW, Staybridge Suites Sunset Station, 41.0%
San Antonio, 2.5*, Downtown-RW, Holiday Inn, 59.0%
San Antonio, 3.5*, Riverwalk, Wyndham St. Anthony, 82.9%
San Antonio, 3.5*, Riverwalk, Crowne Plaza, 17.1%
San Antonio, 3*, NorthWest, Hyatt, 52.6%
San Antonio, 3*, NorthWest, Staybridge Suites NW-Colonnade, 12.7%
San Antonio, 3*, NorthWest, Residence Inn, 34.7%
San Antonio, 3*, Riverwalk, Hotel Indigo, 6.3%
San Antonio, 3*, Riverwalk, Crowne Plaza, 10.2%
San Antonio, 3*, Riverwalk, Courtyard, 7.5%
San Antonio, 3*, Riverwalk, Wyndham, 8.1%
San Antonio, 3*, Riverwalk, Holiday Inn, 67.9%
San Antonio, 2.5*, Riverwalk, Staybridge Suites Sunset Station, 29.5%
San Antonio, 2.5*, Riverwalk, Holiday Inn, 70.5%
San Antonio, 2.5*, NorthWest, Staybridge Suites NW-Colonnade, 19.4%
San Antonio, 2.5*, NorthWest, Residence Inn, 80.6%
San Jose, 3*, South, Dolce Hayes Mansion, 100.0%
San Jose, 3.5*, South, Dolce Hayes Mansion, 100.0%
San Jose, 2.5*, South, Residence Inn, 66.0%
San Jose, 2.5*, South, Holiday Inn, 34.0%
San Jose, 2*, South, Extended StayAmerica, 51.0%
San Jose, 2*, South, Extended Stay America San Jose South-Edenvale, 49.0%
San Jose, 4*, Cupertino - Campbell, Cypress Hotel, 28.9%
San Jose, 4*, Cupertino - Campbell, The Cypress Hotel, 71.1%
San Jose, 3*, Cupertino - Campbell, Courtyard, 100.0%
